timestamp_utc,sensor_id,px_ask,px_bid,px_mid,vol_lots
2024-01-02 13:00:00,EUR-USD,1.11180,1.11160,1.11170,1.20
2024-01-02 13:05:00,EUR-USD,1.11201,1.11181,1.11191,0.90
2024-01-02 13:10:00,EUR-USD,1.11185,1.11165,1.11175,1.50
2024-01-02 13:15:00,EUR-USD,1.11220,1.11200,1.11210,0.80
2024-01-02 13:20:00,EUR-USD,1.11240,1.11220,1.11230,1.10
2024-01-02 13:25:00,EUR-USD,1.11218,1.11198,1.11208,1.30
2024-01-02 13:30:00,EUR-USD,1.11195,1.11175,1.11185,0.70
2024-01-02 13:35:00,EUR-USD,1.11210,1.11190,1.11200,1.40
2024-01-02 13:40:00,EUR-USD,1.11228,1.11208,1.11218,0.90
2024-01-02 13:45:00,EUR-USD,1.11245,1.11225,1.11235,1.20
