datetime,open_price,high_price,low_price,close_price,trade_count
2024-01-02 11:00:00,1.10737,1.10773,1.10721,1.10758,4821
2024-01-02 11:05:00,1.10758,1.10794,1.10743,1.10779,5067
2024-01-02 11:10:00,1.10779,1.10815,1.10764,1.10800,4934
2024-01-02 11:15:00,1.10800,1.10836,1.10785,1.10821,5212
2024-01-02 11:20:00,1.10821,1.10857,1.10806,1.10842,4789
2024-01-02 11:25:00,1.10842,1.10878,1.10827,1.10863,5098
2024-01-02 11:30:00,1.10863,1.10899,1.10848,1.10884,4876
2024-01-02 11:35:00,1.10884,1.10920,1.10869,1.10905,5134
2024-01-02 11:40:00,1.10905,1.10941,1.10890,1.10926,4923
2024-01-02 11:45:00,1.10926,1.10962,1.10911,1.10947,5201
